county,county_norm,precinct_label,unmatched_rows,unmatched_vote_volume,years
Wayne,WAYNE,Lincoln Park City 22,6,4516,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Canton Township 34,6,4497,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Macomb Township 33,6,4493,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Pontiac City 15 Ward 5,4,4487,2012|2014|2016|2018
Montcalm,MONTCALM,Reynolds Township 2,6,4480,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Mundy Township 9,6,4466,2008|2010|2012|2014|2016|2018
Livingston,LIVINGSTON,Brighton City 4,6,4458,2008|2010|2012|2014|2016|2018
Ingham,INGHAM,Lansing City 31 Ward 3,4,4456,2012|2014|2016|2018
Genesee,GENESEE,Flint City 56 Ward 8,4,4445,2012|2014|2016|2018
Berrien,BERRIEN,Benton Harbor City 4,6,4437,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Southgate City 12,6,4427,2008|2010|2012|2014|2016|2018
Eaton,EATON,Oneida Township 2,6,4420,2008|2010|2012|2014|2016|2018
Bay,BAY,Monitor Township 6,6,4418,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Macomb Township 28,6,4417,2008|2010|2012|2014|2016|2018
Ionia,IONIA,Boston Township 3,6,4409,2008|2010|2012|2014|2016|2018
Berrien,BERRIEN,Niles City 4,4,4405,2008|2010|2016|2018
Shiawassee,SHIAWASSEE,Venice Township 2,6,4402,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Warren City 43 Ward 2,4,4398,2012|2014|2016|2018
Oakland,OAKLAND,Pontiac City 21 Ward 7,4,4396,2012|2014|2016|2018
Macomb,MACOMB,Warren City 36 Ward 2,4,4365,2012|2014|2016|2018
Ingham,INGHAM,Stockbridge Township 2,6,4359,2008|2010|2012|2014|2016|2018
Muskegon,MUSKEGON,Muskegon City 12 Ward 4,4,4354,2012|2014|2016|2018
Ingham,INGHAM,Lansing City 41 Ward 4,4,4351,2012|2014|2016|2018
Macomb,MACOMB,Warren City 54 Ward 3,4,4350,2012|2014|2016|2018
Muskegon,MUSKEGON,Norton Shores City 6 Ward 2,4,4338,2012|2014|2016|2018
Eaton,EATON,Lansing City 023 Ward 3,4,4337,2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 3 Ward 5,6,4332,2008|2010|2012|2014|2016|2018
Kent,KENT,East Grand Rapids City 3 Ward 2,4,4332,2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 8 Ward 5,6,4331,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Huntington Woods City 5,6,4330,2008|2010|2012|2014|2016|2018
Muskegon,MUSKEGON,Norton Shores City 2 Ward 1,4,4320,2012|2014|2016|2018
Genesee,GENESEE,Flint City 49 Ward 7,4,4316,2012|2014|2016|2018
Kalamazoo,KALAMAZOO,Comstock Township 8,6,4312,2008|2010|2012|2014|2016|2018
Kent,KENT,Ada Township 7,6,4312,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 25 Ward 1,3,4312,2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 1 Ward 3,6,4303,2008|2010|2012|2014|2016|2018
Kent,KENT,Tyrone Township 2,6,4300,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Bloomfield Township 32,6,4300,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 1 Ward 1,6,4299,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,St. Clair Shores City 24,3,4297,2008|2010|2012
Washtenaw,WASHTENAW,Ann Arbor City 7 Ward 5,6,4293,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Pontiac City 3 Ward 1,4,4285,2012|2014|2016|2018
Midland,MIDLAND,Jerome Township 4,6,4280,2008|2010|2012|2014|2016|2018
Ingham,INGHAM,Lansing City 21 Ward 2,4,4273,2012|2014|2016|2018
Macomb,MACOMB,Warren City 57 Ward 2,4,4264,2012|2014|2016|2018
Oakland,OAKLAND,Waterford Township 28,6,4257,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Waterford Township 29,6,4250,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Macomb Township 26,6,4238,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Warren City 6 Ward 1,4,4238,2012|2014|2016|2018
Washtenaw,WASHTENAW,Ypsilanti City 2 Ward 2,6,4233,2008|2010|2012|2014|2016|2018
Midland,MIDLAND,Midland City 4 Ward 1,6,4229,2008|2010|2012|2014|2016|2018
Saginaw,SAGINAW,St. Charles Township 2,6,4195,2008|2010|2012|2014|2016|2018
St. Clair,ST. CLAIR,Clay Township 3,6,4194,2008|2010|2012|2014|2016|2018
Calhoun,CALHOUN,Battle Creek City 22,6,4185,2008|2010|2012|2014|2016|2018
Kent,KENT,East Grand Rapids City 6 Ward 3,4,4185,2012|2014|2016|2018
Calhoun,CALHOUN,Battle Creek City 17,6,4179,2008|2010|2012|2014|2016|2018
Kent,KENT,East Grand Rapids City 5 Ward 3,4,4178,2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 12 Ward 1,3,4166,2014|2016|2018
Macomb,MACOMB,Warren City 1 Ward 1,4,4163,2012|2014|2016|2018
Genesee,GENESEE,Mount Morris Township 15,6,4162,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Bloomfield Township 20,6,4160,2008|2010|2012|2014|2016|2018
Allegan,ALLEGAN,Douglas City 1,6,4153,2008|2010|2012|2014|2016|2018
Kalkaska,KALKASKA,Cold Springs Township 1,6,4129,2008|2010|2012|2014|2016|2018
Muskegon,MUSKEGON,Norton Shores City 4 Ward 1,4,4124,2012|2014|2016|2018
Oakland,OAKLAND,Waterford Township 26,6,4120,2008|2010|2012|2014|2016|2018
Eaton,EATON,Charlotte City 2 Ward 1,6,4110,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Warren City 44 Ward 2,4,4110,2012|2014|2016|2018
Monroe,MONROE,Erie Township 2,6,4104,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Warren City 23 Ward 5,4,4100,2012|2014|2016|2018
Oakland,OAKLAND,Bloomfield Township 26,6,4091,2008|2010|2012|2014|2016|2018
Ottawa,OTTAWA,Wright Township 2,6,4088,2008|2010|2012|2014|2016|2018
Ingham,INGHAM,Lansing City 19 Ward 2,4,4086,2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 30 Ward 1,3,4077,2014|2016|2018
Lenawee,LENAWEE,Tecumseh City 4 Ward 1,4,4047,2012|2014|2016|2018
Kent,KENT,Ada Township 8,6,4045,2008|2010|2012|2014|2016|2018
Muskegon,MUSKEGON,Muskegon City 10 Ward 3,4,4039,2012|2014|2016|2018
Jackson,JACKSON,Jackson City 2 Ward 1,6,4037,2008|2010|2012|2014|2016|2018
Roscommon,ROSCOMMON,Richfield Township 2,6,4028,2008|2010|2012|2014|2016|2018
Kent,KENT,Grand Rapids City 49 Ward 2,4,4021,2012|2014|2016|2018
Oakland,OAKLAND,Pontiac City 16 Ward 6,4,4017,2012|2014|2016|2018
Jackson,JACKSON,Jackson City 2 Ward 3,6,4009,2008|2010|2012|2014|2016|2018
Berrien,BERRIEN,Lincoln Township 6,6,4005,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Farmington City 2 Ward 1,4,4004,2012|2014|2016|2018
Ottawa,OTTAWA,Park Township 8,6,3983,2008|2010|2012|2014|2016|2018
Kent,KENT,East Grand Rapids City 4 Ward 2,4,3978,2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 16 Ward 1,3,3967,2014|2016|2018
Genesee,GENESEE,Davison City 3,6,3963,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 7 Ward 1,6,3952,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Royal Oak City 24,6,3951,2008|2010|2012|2014|2016|2018
Calhoun,CALHOUN,Battle Creek City 2,6,3949,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Pontiac City 20 Ward 7,4,3949,2012|2014|2016|2018
Wayne,WAYNE,Taylor City 26,6,3947,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Flint Township 13,6,3935,2008|2010|2012|2014|2016|2018
Saginaw,SAGINAW,Saginaw City 19,4,3923,2008|2010|2012|2014
Barry,BARRY,Prairieville Township 2,6,3918,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Mount Clemens City 5,6,3909,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Belleville City 2,6,3899,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Pontiac City 19 Ward 7,4,3895,2012|2014|2016|2018
Wayne,WAYNE,Lincoln Park City 4,6,3890,2008|2010|2012|2014|2016|2018
Eaton,EATON,Delta Township 9,4,3887,2012|2014|2016|2018
Lapeer,LAPEER,Hadley Township 2,4,3878,2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 3 Ward 2,6,3872,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 1 Ward 1,3,3872,2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 6 Ward 1,6,3865,2008|2010|2012|2014|2016|2018
Ingham,INGHAM,Lansing City 7 Ward 1,4,3851,2012|2014|2016|2018
Genesee,GENESEE,Flint City 40 Ward 6,4,3848,2012|2014|2016|2018
Isabella,ISABELLA,Mount Pleasant City 5,6,3839,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Pontiac City 13 Ward 5,4,3830,2012|2014|2016|2018
Macomb,MACOMB,Warren City 45 Ward 2,4,3822,2012|2014|2016|2018
Genesee,GENESEE,Flint City 45 Ward 7,4,3804,2012|2014|2016|2018
Tuscola,TUSCOLA,Vassar Township 2,6,3802,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Taylor City 30,6,3800,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Flat Rock City 4,6,3787,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Lincoln Park City 24,6,3776,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 1 Ward 4,6,3771,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Flat Rock City 5,6,3771,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Bloomfield Township 24,6,3769,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ypsilanti City 3 Ward 2,6,3764,2008|2010|2012|2014|2016|2018
Calhoun,CALHOUN,Battle Creek City 12,6,3756,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Redford Township 19,6,3756,2008|2010|2012|2014|2016|2018
Kent,KENT,Wyoming City 10 Ward 2,6,3743,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 22 Ward 1,4,3743,2012|2014|2016|2018
Macomb,MACOMB,Warren City 15 Ward 4,4,3736,2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 1 Ward 2,6,3731,2008|2010|2012|2014|2016|2018
Muskegon,MUSKEGON,Norton Shores City 3 Ward 1,4,3730,2012|2014|2016|2018
Muskegon,MUSKEGON,Muskegon City 11 Ward 4,4,3716,2012|2014|2016|2018
Oakland,OAKLAND,Pontiac City 6 Ward 2,4,3716,2012|2014|2016|2018
Wayne,WAYNE,Northville Township 14,4,3709,2008|2010|2012|2014
Jackson,JACKSON,Jackson City 1 Ward 2,6,3705,2008|2010|2012|2014|2016|2018
Calhoun,CALHOUN,Battle Creek City 15,4,3704,2012|2014|2016|2018
Wayne,WAYNE,Taylor City 31,6,3701,2008|2010|2012|2014|2016|2018
Emmet,EMMET,Petoskey City 1,6,3693,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Warren City 17 Ward 4,4,3684,2012|2014|2016|2018
Muskegon,MUSKEGON,Muskegon City 14 Ward 4,4,3675,2012|2014|2016|2018
Genesee,GENESEE,Flushing Township 7,6,3674,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Bloomfield Township 23,6,3672,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Canton Township 39,6,3669,2008|2010|2012|2014|2016|2018
Jackson,JACKSON,Jackson City 2 Ward 6,6,3668,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Taylor City 29,6,3659,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Farmington City 6 Ward 1,4,3656,2012|2014|2016|2018
Ingham,INGHAM,Lansing City 42 Ward 4,4,3651,2012|2014|2016|2018
Oakland,OAKLAND,Pontiac City 12 Ward 4,4,3632,2012|2014|2016|2018
Macomb,MACOMB,Warren City 46 Ward 1,4,3624,2012|2014|2016|2018
Presque Isle,PRESQUE ISLE,Rogers City 2,6,3620,2008|2010|2012|2014|2016|2018
Lenawee,LENAWEE,Tecumseh City 3 Ward 1,4,3618,2012|2014|2016|2018
Macomb,MACOMB,Warren City 52 Ward 3,4,3618,2012|2014|2016|2018
Kent,KENT,Grand Rapids Township 7,6,3611,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 1 Ward 5,6,3594,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Warren City 19 Ward 1,4,3586,2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 5 Ward 1,3,3582,2014|2016|2018
Genesee,GENESEE,Davison City 4,6,3575,2008|2010|2012|2014|2016|2018
Isabella,ISABELLA,Coe Township 2,6,3561,2008|2010|2012|2014|2016|2018
Muskegon,MUSKEGON,Muskegon City 13 Ward 4,4,3558,2012|2014|2016|2018
Calhoun,CALHOUN,Springfield City 2,6,3554,2008|2010|2012|2014|2016|2018
Calhoun,CALHOUN,Battle Creek City 16,6,3544,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 23 Ward 1,4,3542,2012|2014|2016|2018
Genesee,GENESEE,Flint Township 10,6,3537,2008|2010|2012|2014|2016|2018
Isabella,ISABELLA,Mount Pleasant City 7,6,3534,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Farmington City 3 Ward 1,4,3532,2012|2014|2016|2018
Cass,CASS,Howard Township 3,6,3529,2008|2010|2012|2014|2016|2018
Muskegon,MUSKEGON,Muskegon Township 7,6,3506,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Macomb Township 31,6,3497,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Bloomfield Township 29,6,3496,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Warren City 9 Ward 5,4,3485,2012|2014|2016|2018
Macomb,MACOMB,Warren City 37 Ward 2,4,3483,2012|2014|2016|2018
Macomb,MACOMB,Warren City 4 Ward 5,4,3482,2012|2014|2016|2018
Calhoun,CALHOUN,Battle Creek City 13,6,3467,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 21 Ward 1,3,3459,2014|2016|2018
Kent,KENT,Grand Rapids City 77 Ward 3,4,3458,2012|2014|2016|2018
St. Clair,ST. CLAIR,Burtchville Township 1,6,3446,2008|2010|2012|2014|2016|2018
Berrien,BERRIEN,Niles City 2,4,3422,2008|2010|2016|2018
Oakland,OAKLAND,Farmington City 4 Ward 1,4,3419,2012|2014|2016|2018
Jackson,JACKSON,Jackson City 2 Ward 4,6,3410,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Mount Morris Township 13,6,3408,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Flint City 60 Ward 9,4,3408,2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 24 Ward 1,3,3402,2014|2016|2018
Ingham,INGHAM,Alaiedon Township 3,6,3398,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Mount Morris Township 10,6,3394,2008|2010|2012|2014|2016|2018
Muskegon,MUSKEGON,Muskegon City 7 Ward 2,4,3389,2012|2014|2016|2018
Emmet,EMMET,Petoskey City 4,6,3375,2008|2010|2012|2014|2016|2018
Calhoun,CALHOUN,Battle Creek City 4,6,3359,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Mount Morris Township 12,6,3357,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Flint City 57 Ward 9,4,3352,2012|2014|2016|2018
Oakland,OAKLAND,Pontiac City 5 Ward 2,4,3346,2012|2014|2016|2018
Wayne,WAYNE,Wayne City 8,4,3346,2008|2010|2012|2014
Lapeer,LAPEER,Lapeer City 1 Ward 1,4,3343,2012|2014|2016|2018
Genesee,GENESEE,Flint City 50 Ward 7,4,3338,2012|2014|2016|2018
Calhoun,CALHOUN,Battle Creek City 1,6,3333,2008|2010|2012|2014|2016|2018
Eaton,EATON,Eaton Township 2,6,3322,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Pontiac City 4 Ward 2,4,3318,2012|2014|2016|2018
Oakland,OAKLAND,Independence Township 14,3,3303,2008|2010|2012
Macomb,MACOMB,Warren City 53 Ward 3,4,3302,2012|2014|2016|2018
Clare,CLARE,Grant Township 0B,4,3296,2008|2010|2012|2014
Genesee,GENESEE,Flint City 4 Ward 1,4,3287,2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 32 Ward 1,3,3282,2014|2016|2018
Jackson,JACKSON,Jackson City 1 Ward 4,6,3277,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Grosse Pointe Shores City 2,5,3275,2010|2012|2014|2016|2018
Saginaw,SAGINAW,Saginaw City 20,4,3260,2008|2010|2012|2014
Saginaw,SAGINAW,Saginaw City 17,4,3256,2008|2010|2012|2014
Jackson,JACKSON,Jackson City 3 Ward 3,6,3245,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Warren City 8 Ward 5,4,3226,2012|2014|2016|2018
Oakland,OAKLAND,Farmington City 5 Ward 1,4,3208,2012|2014|2016|2018
Oakland,OAKLAND,Clarkston City 1,6,3204,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 2 Ward 1,6,3204,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Warren City 5 Ward 1,4,3190,2012|2014|2016|2018
Genesee,GENESEE,Flint City 22 Ward 4,4,3174,2012|2014|2016|2018
Muskegon,MUSKEGON,Muskegon City 9 Ward 3,4,3173,2012|2014|2016|2018
Wayne,WAYNE,Southgate City 13,6,3166,2008|2010|2012|2014|2016|2018
Kent,KENT,Wyoming City 11 Ward 2,6,3163,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Roseville City 21,3,3128,2008|2010|2012
Wayne,WAYNE,Highland Park City 14,6,3127,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Chesterfield Township 18,3,3122,2008|2010|2012
Genesee,GENESEE,Flint City 29 Ward 5,4,3102,2012|2014|2016|2018
Wayne,WAYNE,Redford Township 21,6,3099,2008|2010|2012|2014|2016|2018
Saginaw,SAGINAW,Buena Vista Township 4,6,3085,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Pontiac City 8 Ward 3,4,3084,2012|2014|2016|2018
Genesee,GENESEE,Flint City 51 Ward 8,4,3082,2012|2014|2016|2018
Oakland,OAKLAND,Pontiac City 2 Ward 1,4,3079,2012|2014|2016|2018
Berrien,BERRIEN,Benton Harbor City 2,6,3068,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Farmington City 1 Ward 1,4,3065,2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 27 Ward 1,3,3052,2014|2016|2018
Allegan,ALLEGAN,Allegan Township 2,6,3048,2008|2010|2012|2014|2016|2018
Clare,CLARE,Surrey Township 2,4,3044,2008|2010|2012|2014
Oakland,OAKLAND,Rochester Hills City 18 Ward 1,3,3044,2014|2016|2018
Wayne,WAYNE,Taylor City 24,6,3037,2008|2010|2012|2014|2016|2018
Ingham,INGHAM,Leroy Township 2,6,3033,2008|2010|2012|2014|2016|2018
Ionia,IONIA,Belding City 3,6,3033,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 10 Ward 1,3,3024,2014|2016|2018
Ingham,INGHAM,Lansing City 43 Ward 4,4,3004,2012|2014|2016|2018
Genesee,GENESEE,Flint Township 11,6,3003,2008|2010|2012|2014|2016|2018
Muskegon,MUSKEGON,Muskegon City 4 Ward 1,4,3003,2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 28 Ward 1,3,2999,2014|2016|2018
Berrien,BERRIEN,Niles City 3,4,2970,2008|2010|2016|2018
Oakland,OAKLAND,Rochester Hills City 19 Ward 1,3,2934,2014|2016|2018
Saginaw,SAGINAW,Frankenmuth Township 2,6,2933,2008|2010|2012|2014|2016|2018
Oceana,OCEANA,Shelby Township 2,6,2932,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Richfield Township 4,6,2931,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 8 Ward 1,4,2926,2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 14,2,2918,2008|2010
Oakland,OAKLAND,Rochester Hills City 29 Ward 1,4,2914,2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 21,2,2910,2008|2010
Muskegon,MUSKEGON,Muskegon City 3 Ward 1,4,2905,2012|2014|2016|2018
Macomb,MACOMB,Warren City 10 Ward 3,4,2889,2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 3 Ward 1,6,2884,2008|2010|2012|2014|2016|2018
Calhoun,CALHOUN,Battle Creek City 24,1,2883,2008
Wayne,WAYNE,Redford Township 13,6,2880,2008|2010|2012|2014|2016|2018
Lenawee,LENAWEE,Woodstock Township 2,6,2879,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Flint City 48 Ward 7,4,2874,2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 27,2,2851,2008|2010
Macomb,MACOMB,Warren City 25 Ward 3,4,2844,2012|2014|2016|2018
Genesee,GENESEE,Flint City 16 Ward 3,4,2840,2012|2014|2016|2018
Lapeer,LAPEER,Hadley Township 1A,2,2838,2008|2010
Macomb,MACOMB,Sterling Heights City 50,2,2838,2008|2010
Wayne,WAYNE,Grosse Pointe Park City 3,6,2837,2008|2010|2012|2014|2016|2018
Ionia,IONIA,Ionia City 1 Ward 1,6,2823,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Highland Park City 20,6,2819,2008|2010|2012|2014|2016|2018
Calhoun,CALHOUN,Battle Creek City 9,6,2812,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Warren City 7 Ward 5,4,2812,2012|2014|2016|2018
Oakland,OAKLAND,Pontiac City 17 Ward 6,4,2798,2012|2014|2016|2018
Wayne,WAYNE,Taylor City 27,6,2790,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 26,2,2786,2008|2010
Genesee,GENESEE,Flint City 8 Ward 2,4,2779,2012|2014|2016|2018
Genesee,GENESEE,Flushing Township 6,6,2775,2008|2010|2012|2014|2016|2018
Midland,MIDLAND,Midland City 5 Ward 1,6,2767,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Bloomfield Township 27,6,2745,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Canton Township 42,5,2741,2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Pittsfield Township 11,3,2740,2008|2010|2018
Macomb,MACOMB,Center Line City 5,6,2738,2008|2010|2012|2014|2016|2018
Gogebic,GOGEBIC,Ironwood City 3,6,2732,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Taylor City 25,6,2726,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Lodi Township 3,4,2726,2012|2014|2016|2018
Calhoun,CALHOUN,Battle Creek City 7,6,2719,2008|2010|2012|2014|2016|2018
Berrien,BERRIEN,Niles City 1,4,2719,2008|2010|2016|2018
Macomb,MACOMB,Clinton Township 43,6,2708,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Flint City 58 Ward 9,4,2706,2012|2014|2016|2018
Lapeer,LAPEER,Lapeer City 2 Ward 1,4,2704,2012|2014|2016|2018
Wayne,WAYNE,Southgate City 14,6,2701,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Flint City 42 Ward 6,4,2694,2012|2014|2016|2018
Muskegon,MUSKEGON,Muskegon City 6 Ward 2,4,2694,2012|2014|2016|2018
Tuscola,TUSCOLA,Denmark Township 2,6,2693,2008|2010|2012|2014|2016|2018
Tuscola,TUSCOLA,Caro City 2,5,2693,2010|2012|2014|2016|2018
Wayne,WAYNE,Canton Township 41,5,2693,2010|2012|2014|2016|2018
Genesee,GENESEE,Flint City 46 Ward 7,4,2688,2012|2014|2016|2018
Kent,KENT,Grand Rapids City 26 Ward 1,2,2688,2008|2010
Oakland,OAKLAND,Rochester Hills City 13 Ward 1,3,2675,2014|2016|2018
Macomb,MACOMB,Warren City 34 Ward 1,4,2674,2012|2014|2016|2018
Lapeer,LAPEER,Lapeer City 4 Ward 1,4,2668,2012|2014|2016|2018
Genesee,GENESEE,Flint City 25 Ward 4,4,2653,2012|2014|2016|2018
Oakland,OAKLAND,Bloomfield Township 31,6,2651,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Bloomfield Township 28,6,2649,2008|2010|2012|2014|2016|2018
Kalamazoo,KALAMAZOO,Portage City 20,3,2640,2008|2010|2012
Ingham,INGHAM,Lansing City 6 Ward 1,4,2633,2012|2014|2016|2018
Oakland,OAKLAND,Pontiac City 14 Ward 5,4,2627,2012|2014|2016|2018
St. Clair,ST. CLAIR,Fort Gratiot Township 5,6,2626,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 3 Ward 1,3,2622,2014|2016|2018
Muskegon,MUSKEGON,Muskegon City 5 Ward 2,4,2621,2012|2014|2016|2018
Van Buren,VAN BUREN,Covert Township 2,6,2598,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Highland Park City 18,6,2587,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Taylor City 28,6,2585,2008|2010|2012|2014|2016|2018
Calhoun,CALHOUN,Battle Creek City 19,6,2582,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Flint City 6 Ward 1,4,2575,2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 11,2,2569,2008|2010
Wayne,WAYNE,Huron Township 6,6,2566,2008|2010|2012|2014|2016|2018
Kent,KENT,Grand Rapids City 27 Ward 1,2,2559,2008|2010
Muskegon,MUSKEGON,Norton Shores City 1 Ward 1,4,2546,2012|2014|2016|2018
Wayne,WAYNE,Canton Township 40,5,2544,2010|2012|2014|2016|2018
Ionia,IONIA,Ionia City 3 Ward 3,5,2538,2008|2010|2014|2016|2018
Shiawassee,SHIAWASSEE,Owosso City 4 Ward 2,6,2521,2008|2010|2012|2014|2016|2018
Eaton,EATON,Bellevue Township 2,6,2515,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 13,2,2513,2008|2010
Washtenaw,WASHTENAW,Ann Arbor City 2 Ward 4,6,2510,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 31 Ward 1,3,2509,2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 11 Ward 1,3,2508,2014|2016|2018
Genesee,GENESEE,Flint City 52 Ward 8,4,2490,2012|2014|2016|2018
Kent,KENT,Grand Rapids City 76 Ward 3,4,2488,2012|2014|2016|2018
Wayne,WAYNE,Westland City 42,6,2486,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 4 Ward 1,3,2486,2014|2016|2018
Montcalm,MONTCALM,Evergreen Township 2,6,2474,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Allen Park City 6,6,2461,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 9,2,2454,2008|2010
Wayne,WAYNE,Northville Township 15,4,2450,2008|2010|2012|2014
